id,carat,cut,color,clarity,depth,table,x,y,z,price
75,,Ideal,G,SI1,62.1,56.0,5.38,5.4,3.34,1446
76,0.6,Ideal,G,VS2,61.6,55.0,5.42,5.46,3.35,1616
77,,Ideal,G,SI2,62.3,57.0,8.2,8.14,5.07,15992
78,0.3,Very Good,E,VVS2,63.0,56.0,4.26,4.3,2.7,766
79,0.32,Premium,,VS2,59.8,58.0,4.46,4.49,2.67,720
80,1.14,Premium,,VS2,61.1,58.0,6.75,6.72,4.11,6843
81,0.41,Very Good,G,VS2,62.9,56.0,4.7,4.75,2.97,863
82,0.31,Ideal,D,SI1,61.8,56.0,4.32,4.35,2.68,571
83,,Ideal,G,VS2,62.0,57.0,5.16,5.19,3.21,1607
84,,Ideal,F,VS2,59.9,57.0,7.59,7.62,4.55,12530
85,1.05,Premium,H,SI1,62.4,60.0,6.44,6.41,4.01,4831
86,,Premium,,VS2,62.0,58.0,6.39,6.44,3.98,5250
87,1.0,Premium,G,VVS2,59.7,61.0,6.48,6.5,3.88,6640
88,1.01,Very Good,G,VVS2,63.1,57.0,6.38,6.35,4.02,7286
89,0.31,Ideal,,VS2,62.2,56.0,4.32,4.36,2.7,507
90,0.53,Good,F,SI1,58.2,61.0,5.31,5.38,3.1,1274
91,0.7,Ideal,,SI1,61.4,56.0,5.74,5.77,3.53,3036
92,1.2,Ideal,G,VVS2,62.6,57.0,6.75,6.8,4.23,9127
93,0.34,Premium,G,VS2,60.9,58.0,4.56,4.54,2.78,765
94,0.31,Ideal,D,SI1,62.1,55.0,4.39,4.35,2.71,661
95,0.53,Ideal,,VVS2,60.8,56.0,5.24,5.27,3.19,1985
96,0.51,Ideal,D,VS2,61.4,56.0,5.21,5.18,3.19,1845
97,0.73,Ideal,,SI1,61.2,56.0,5.8,5.82,3.56,2513
98,2.2,Ideal,J,VS2,60.5,57.0,8.45,8.42,5.1,12907
99,0.72,Very Good,H,SI1,63.1,58.0,5.67,5.71,3.59,2106
100,,Premium,G,SI1,59.2,58.0,7.54,7.45,4.43,10197
101,0.53,Ideal,G,VVS2,61.8,56.0,5.22,5.2,3.22,1908
102,0.43,Good,D,SI2,63.2,58.0,4.83,4.77,3.03,716
103,1.01,Very Good,,VS2,63.5,57.0,6.37,6.4,4.05,5746
104,0.71,Very Good,F,VVS2,59.7,60.0,5.75,5.79,3.44,3064
105,1.01,Very Good,G,SI2,63.1,58.0,6.31,6.34,3.99,4101
106,0.53,Ideal,F,VS2,61.9,57.0,5.23,5.2,3.22,1832
107,0.74,Ideal,F,VVS1,61.2,56.0,5.81,5.89,3.57,3667
108,,Very Good,H,VS1,61.4,57.0,5.16,5.21,3.19,1133
109,0.7,Premium,D,SI1,61.7,60.0,5.66,5.7,3.51,3048
110,0.41,Ideal,J,VS1,61.6,57.0,4.82,4.79,2.96,830
111,,Ideal,D,SI1,62.8,56.0,6.35,6.36,3.99,5966
112,1.21,Ideal,,SI1,62.5,57.0,6.77,6.8,4.23,6511
113,1.03,Very Good,F,VS1,60.6,55.0,6.57,6.54,3.97,7513
114,0.31,Ideal,F,VS2,61.9,57.0,4.32,4.36,2.69,625
115,0.32,Premium,G,VS2,60.3,60.0,4.43,4.39,2.66,561
116,1.01,Premium,,SI2,62.6,59.0,6.39,6.33,3.97,4916
117,1.18,Premium,H,SI2,62.6,58.0,6.81,6.77,4.25,5916
118,0.93,Ideal,I,SI2,62.1,56.0,6.22,6.26,3.87,3359
119,2.0,Premium,,SI2,61.7,59.0,8.07,8.03,4.96,14120
120,1.02,Premium,G,VS1,62.5,59.0,6.36,6.43,4.0,6499
121,0.47,Premium,F,SI2,60.9,60.0,5.0,5.03,3.05,1030
122,1.75,Ideal,E,SI2,61.8,57.0,7.73,7.69,4.76,11705
123,2.05,Premium,J,SI2,60.8,58.0,8.13,8.23,4.97,11314
124,,Ideal,,VS2,61.6,55.0,5.18,5.2,3.2,1667
125,1.01,Very Good,G,VS2,63.1,57.0,6.34,6.41,4.02,6369
126,0.4,Ideal,F,VVS2,62.6,53.0,4.73,4.77,2.97,977
127,1.61,Premium,F,VS2,61.4,59.0,7.54,7.57,4.64,14171
128,0.7,Ideal,I,VS2,61.6,56.0,5.71,5.74,3.54,2276
129,0.3,Premium,G,VVS1,62.0,58.0,4.29,4.32,2.67,761
130,2.02,Premium,G,SI2,62.2,60.0,8.14,8.09,5.04,12377
131,1.18,Ideal,F,VVS1,60.8,57.0,6.82,6.86,4.16,11946
132,0.53,Ideal,,VS2,61.4,55.0,5.21,5.26,3.22,1439
133,1.5,Premium,,SI2,62.7,59.0,7.33,7.25,4.57,6026
134,,Premium,D,SI1,62.6,58.0,4.49,4.54,2.83,644
135,1.03,Ideal,J,SI1,61.9,55.0,6.46,6.49,4.01,4221
136,0.52,Premium,E,SI2,62.2,57.0,5.14,5.11,3.18,1088
137,1.15,Ideal,E,VS2,62.3,56.0,6.71,6.72,4.18,9177
138,1.19,Ideal,I,SI2,62.0,56.0,6.81,6.78,4.22,4929
139,1.3,Premium,,SI2,61.9,59.0,6.92,6.87,4.27,6096
140,1.02,Premium,E,VS2,60.1,58.0,6.55,6.59,3.94,6825
141,0.39,Ideal,F,SI1,60.8,56.0,4.74,4.78,2.9,926
142,,Ideal,G,VS2,62.6,53.0,4.6,4.64,2.89,710
143,,Premium,G,VS2,61.4,58.0,5.73,5.78,3.53,2633
144,,Premium,I,SI1,62.2,59.0,6.68,6.72,4.17,5321
145,1.27,Ideal,I,SI1,62.0,57.0,6.92,6.88,4.27,5607
146,1.62,Ideal,G,VS2,61.4,57.0,7.57,7.53,4.64,15132
147,0.41,Very Good,G,VS1,62.3,56.0,4.76,4.77,2.97,899
148,0.72,Ideal,E,VS1,62.0,54.0,5.76,5.8,3.58,3345
149,,Ideal,H,VS1,61.7,56.0,5.74,5.77,3.55,3167
150,1.03,Premium,G,SI2,61.1,58.0,6.52,6.46,3.97,4277
151,0.32,Ideal,,VS2,60.2,57.0,4.41,4.42,2.66,624
152,0.56,Good,E,VS2,63.1,62.0,5.18,5.23,3.28,1684
153,,Premium,J,VS2,63.0,58.0,6.88,6.92,4.35,4989
154,,Ideal,,VS1,62.5,56.0,6.88,6.92,4.32,7816
155,0.3,Premium,H,VS2,61.2,61.0,4.28,4.23,2.6,446
156,,Ideal,G,VS1,61.5,57.0,7.33,7.37,4.52,14505
157,1.5,Ideal,G,VVS2,61.6,57.0,7.36,7.4,4.54,16492
158,,Premium,E,SI2,62.0,59.0,5.1,5.04,3.14,1056
159,,Ideal,H,VS2,61.9,55.0,4.46,4.48,2.76,492
160,1.59,Very Good,F,VS2,60.6,61.0,7.57,7.63,4.59,15007
161,0.3,Ideal,G,SI1,60.8,57.0,4.37,4.4,2.67,432
162,0.54,Ideal,,VS1,60.6,57.0,5.3,5.34,3.22,2021
163,,Very Good,H,VS2,63.1,57.0,6.45,6.51,4.09,5331
164,1.5,Very Good,E,VS1,60.7,60.0,7.41,7.45,4.51,16148
165,0.31,Ideal,,VS1,62.0,54.0,4.36,4.39,2.71,608
166,0.9,Very Good,F,VS1,61.3,60.0,6.18,6.23,3.8,5302
167,0.52,Ideal,E,VS2,62.0,56.0,5.15,5.19,3.19,1790
168,1.05,Ideal,F,VVS1,62.8,57.0,6.48,6.45,4.06,9874
169,1.01,Very Good,G,VS1,63.1,59.0,6.34,6.39,4.02,6623
170,0.51,Ideal,E,VS1,61.9,56.0,5.14,5.11,3.17,1846
171,1.01,Very Good,,VS2,62.7,57.0,6.41,6.43,4.01,6686
172,0.41,Ideal,E,VS2,61.0,56.0,4.83,4.8,2.94,905
173,,Premium,I,SI1,62.8,59.0,6.43,6.39,4.03,4422
174,,Ideal,F,VVS1,62.5,56.0,4.76,4.79,2.99,1231
175,1.33,Ideal,,VVS2,62.0,54.0,7.05,7.02,4.37,9212
176,,Premium,,SI2,59.6,60.0,8.76,8.81,5.17,18242
177,0.59,Ideal,F,VS1,62.4,56.0,5.39,5.36,3.36,1923
178,0.71,Premium,G,VS2,62.4,60.0,5.72,5.69,3.56,2322
179,0.7,Ideal,F,VVS2,62.4,57.0,5.6,5.66,3.5,3018
180,1.0,Premium,F,SI2,62.4,58.0,6.39,6.37,3.98,3918
181,,Ideal,G,SI2,62.4,55.0,4.78,4.82,2.99,859
182,0.3,Very Good,G,VS1,62.1,56.0,4.28,4.31,2.67,605
183,1.53,Premium,,VVS2,61.2,58.0,7.45,7.42,4.55,12829
184,0.8,Very Good,E,VS2,62.0,60.0,5.92,5.96,3.68,3373
185,0.81,Good,E,SI1,59.7,62.0,6.02,6.07,3.61,3668
186,0.3,Very Good,,VS2,62.3,56.0,4.29,4.32,2.68,608
187,1.0,Premium,G,VS2,62.1,60.0,6.35,6.33,3.94,5885
188,0.53,Premium,G,SI1,61.1,60.0,5.21,5.19,3.18,1249
189,,Ideal,G,VVS1,61.6,56.0,4.45,4.46,2.74,852
190,,Premium,F,VS2,61.8,58.0,4.31,4.36,2.68,625
191,2.02,Premium,,SI2,61.3,59.0,8.05,7.94,4.91,13133
192,0.26,Very Good,F,VS2,61.2,60.0,4.13,4.1,2.48,394
193,1.05,Premium,,SI1,59.7,58.0,6.57,6.63,3.96,4966
194,0.7,Premium,E,SI1,59.8,62.0,5.73,5.7,3.44,2333
195,1.02,Premium,H,SI1,60.1,60.0,6.49,6.55,3.91,4764
196,0.3,Premium,H,VVS2,61.6,58.0,4.31,4.35,2.67,776
197,,Ideal,G,VS2,61.3,56.0,6.65,6.7,4.08,6713
198,0.3,Premium,D,SI1,61.0,59.0,4.33,4.31,2.63,709
199,0.33,Premium,F,VS2,61.8,59.0,4.4,4.44,2.73,666
200,0.32,Ideal,E,VS1,61.9,55.0,4.41,4.43,2.74,692
201,1.07,Ideal,H,SI1,62.1,54.0,6.59,6.54,4.08,4880
202,,Very Good,H,VS2,63.8,55.0,6.32,6.3,4.02,5331
203,0.7,Good,,VS1,58.7,60.0,5.75,5.79,3.4,3043
204,1.01,Premium,,VS2,61.0,59.0,6.49,6.46,3.95,5461
205,,Ideal,,IF,61.9,56.0,4.52,4.55,2.8,683
206,0.3,Premium,G,VVS2,61.8,59.0,4.28,4.31,2.66,684
207,0.7,Very Good,F,SI1,60.3,59.0,5.74,5.77,3.47,2307
208,1.0,Premium,E,SI2,62.7,57.0,6.29,6.31,3.95,3584
209,0.26,Ideal,H,SI2,62.5,56.0,4.08,4.11,2.56,397
210,,Ideal,E,SI1,62.8,56.0,5.03,5.07,3.17,1376
211,0.45,Good,E,VS1,56.6,62.0,5.11,5.05,2.88,1362
212,1.0,Very Good,D,VS2,61.7,62.0,6.41,6.37,3.94,6300
213,,Ideal,F,SI1,62.3,57.0,5.75,5.77,3.58,2467
214,0.41,Premium,,VS1,61.1,62.0,4.75,4.72,2.89,943
215,1.6,Premium,D,SI1,63.0,58.0,7.44,7.48,4.7,14502
216,,Premium,,SI2,61.0,60.0,6.86,6.81,4.18,6892
217,1.01,Ideal,G,VS1,62.2,54.0,6.55,6.54,4.07,7049
218,,Premium,H,IF,63.0,60.0,5.05,4.99,3.18,1827
219,0.9,Very Good,D,SI1,62.2,58.0,6.15,6.2,3.84,4229
220,0.7,Premium,,SI1,60.5,59.0,5.7,5.77,3.46,2738
221,0.31,Ideal,,VS2,61.9,57.0,4.31,4.35,2.68,680
222,1.08,Premium,,SI2,62.2,59.0,6.51,6.54,4.06,4370
223,,Ideal,E,VVS1,61.5,56.0,4.33,4.35,2.67,895
224,0.34,Ideal,E,VVS2,62.0,56.0,4.47,4.46,2.77,1071
225,0.51,Ideal,G,VS1,61.4,56.0,5.15,5.17,3.17,1612
226,1.06,Ideal,H,SI1,61.1,57.0,6.57,6.6,4.03,4844
227,,Ideal,I,VVS2,62.5,57.0,4.41,4.36,2.74,720
228,1.04,Ideal,,SI1,62.0,56.0,6.51,6.45,4.03,4600
229,1.7,Ideal,F,SI1,62.0,56.0,7.59,7.67,4.73,14652
230,1.0,Very Good,G,VS2,62.3,59.0,6.29,6.35,3.94,6415
231,,Very Good,F,VS1,60.8,56.0,6.88,6.85,4.18,9123
232,0.32,Premium,E,VVS1,61.2,58.0,4.45,4.42,2.71,1033
233,0.41,Premium,G,VVS2,61.7,58.0,4.77,4.79,2.95,1153
234,0.71,Premium,,SI2,60.4,60.0,5.79,5.81,3.5,2795
235,0.41,Good,E,SI1,63.4,53.0,4.73,4.76,3.0,755
236,0.5,Ideal,D,VS2,62.1,57.0,5.03,5.06,3.14,1694
237,1.01,Very Good,F,SI2,63.3,59.0,6.41,6.38,4.04,4075
238,0.31,Ideal,,IF,61.7,56.0,4.34,4.38,2.69,979
239,,Good,G,SI2,63.9,58.0,6.31,6.36,4.06,5206
240,,Ideal,D,VS2,62.3,56.0,5.68,5.69,3.54,3222
241,0.32,Very Good,H,SI1,63.3,57.0,4.32,4.31,2.73,591
242,,Ideal,,SI1,61.6,55.0,4.56,4.59,2.82,652
243,1.45,Premium,G,SI2,62.7,58.0,7.21,7.18,4.51,6098
244,,Ideal,F,SI2,59.7,57.0,5.98,5.91,3.55,2680
245,,Ideal,G,VS2,61.5,56.0,4.34,4.36,2.68,554
246,0.71,Premium,,VVS2,60.6,58.0,5.78,5.73,3.49,2456
247,0.91,Premium,D,SI2,59.9,58.0,6.31,6.27,3.75,4372
248,,Ideal,G,VS1,62.2,57.0,4.26,4.31,2.67,605
249,0.31,Very Good,D,SI2,62.0,56.0,4.34,4.37,2.7,462
250,1.07,Ideal,,VS1,61.9,54.0,6.55,6.57,4.06,7589
251,1.01,Premium,H,SI1,62.9,59.0,6.38,6.33,3.99,4988
252,0.51,Ideal,G,VS1,62.4,56.0,5.13,5.18,3.22,1665
253,0.33,Ideal,J,VS1,62.2,55.0,4.42,4.44,2.75,467
254,1.01,Good,E,VS2,59.8,61.0,6.44,6.49,3.87,7177
255,,Premium,,SI2,60.8,59.0,8.1,8.06,4.93,15776
256,1.04,Premium,,SI2,62.4,59.0,6.48,6.41,4.02,3737
257,0.7,Very Good,D,VS2,62.0,55.0,5.68,5.72,3.54,2859
258,1.07,Very Good,G,VS2,61.8,60.0,6.45,6.48,3.99,5518
259,0.4,Premium,D,VS2,62.0,58.0,4.72,4.7,2.93,1050
260,1.71,Ideal,G,VS2,62.5,57.0,7.61,7.57,4.77,14482
261,1.01,Very Good,G,VS2,62.6,60.0,6.35,6.4,3.99,6449
262,0.57,Ideal,H,VS2,62.1,54.0,5.33,5.36,3.32,1336
263,0.34,Very Good,,SI1,60.3,58.0,4.51,4.58,2.74,487
264,1.5,Premium,F,VS1,59.6,59.0,7.46,7.4,4.43,15818
265,0.42,Ideal,F,VS1,61.9,56.0,4.8,4.85,2.99,1129
266,0.54,Ideal,,VVS1,61.9,57.0,5.2,5.22,3.23,1838
267,1.22,Ideal,I,SI2,62.2,56.0,6.87,6.82,4.28,5285
268,1.07,Premium,D,SI1,62.4,55.0,6.55,6.52,4.08,5385
269,0.3,Very Good,G,VS2,62.9,59.0,4.22,4.25,2.66,477
270,,Ideal,G,SI1,62.6,57.0,6.36,6.38,4.0,5159
271,,Premium,I,SI1,60.9,58.0,6.5,6.43,3.93,4455
272,2.04,Ideal,,SI1,61.0,57.0,8.3,8.24,5.09,17715
273,1.03,Ideal,H,VS2,62.4,55.0,6.47,6.49,4.04,5679
274,0.24,Very Good,F,VVS2,62.4,58.0,3.96,4.0,2.48,568
275,2.62,Premium,I,SI2,61.7,62.0,8.75,8.69,5.49,15993
276,0.3,Premium,F,IF,61.5,58.0,4.33,4.3,2.66,1085
277,1.5,Very Good,I,SI2,63.2,59.0,7.19,7.3,4.58,7409
278,0.52,Ideal,G,VVS2,62.5,56.0,5.08,5.12,3.19,1817
279,0.46,Ideal,D,VS2,61.6,56.0,4.97,5.0,3.1,1397
280,0.37,Ideal,,VVS1,61.8,56.0,4.57,4.6,2.84,1124
281,0.31,Very Good,G,VS2,63.2,57.0,4.32,4.27,2.71,487
282,,Premium,H,SI2,61.0,61.0,6.37,6.33,3.87,3770
283,0.7,Ideal,,SI2,62.7,57.0,5.67,5.64,3.54,2307
284,,Very Good,H,VS2,63.0,60.0,6.11,6.12,3.86,3903
285,,Good,E,SI1,63.5,59.0,6.1,6.06,3.86,3392
286,0.71,Premium,F,VS2,60.4,60.0,5.75,5.78,3.48,2840
287,,Premium,H,VS1,62.8,58.0,7.26,7.3,4.58,10851
288,1.03,Premium,F,VS2,62.5,57.0,6.47,6.44,4.05,6989
289,0.3,Very Good,J,VS1,62.3,59.0,4.26,4.29,2.66,394
290,1.0,Very Good,E,VVS1,58.7,58.0,6.52,6.57,3.86,11463
291,1.01,Good,,VS2,64.0,57.0,6.26,6.3,4.01,4613
292,1.01,Ideal,H,SI1,61.3,57.0,6.48,6.45,3.97,5292
293,,Ideal,,VS2,60.4,56.0,5.25,5.28,3.18,1615
294,0.75,Ideal,F,VS2,61.9,56.0,5.82,5.85,3.62,2857
295,0.31,Ideal,G,VS2,62.0,56.0,4.38,4.36,2.71,544
296,1.27,Ideal,D,SI1,62.1,55.0,7.03,6.92,4.32,9176
297,0.5,Ideal,E,SI2,61.3,56.0,5.08,5.13,3.13,1163
298,1.07,Ideal,H,VS2,61.7,57.0,6.59,6.56,4.05,5361
299,,Ideal,,SI1,62.5,54.0,7.53,7.47,4.68,8037
300,0.5,Very Good,E,SI1,63.5,61.0,4.96,5.03,3.17,1333
301,1.01,Very Good,I,VS2,63.3,59.0,6.33,6.27,3.99,4239
302,,Ideal,F,VS1,61.9,57.0,4.64,4.68,2.89,862
303,0.71,Very Good,G,SI1,62.2,58.0,5.7,5.73,3.54,2316
304,0.5,Ideal,D,SI1,62.7,57.0,5.02,5.06,3.17,1436
305,0.8,Good,F,VS2,59.4,65.0,6.02,6.06,3.58,3013
306,1.51,Ideal,I,SI2,62.0,57.0,7.33,7.29,4.54,7358
307,0.72,Premium,,SI1,62.6,58.0,5.75,5.73,3.6,2385
308,0.43,Premium,F,SI1,62.3,59.0,4.79,4.82,3.0,705
309,0.51,Ideal,E,SI1,62.6,55.0,5.12,5.09,3.2,1698
310,1.01,Good,J,VS2,63.6,59.0,6.38,6.31,4.04,3697
311,0.31,Premium,H,VVS2,61.0,58.0,4.4,4.37,2.67,802
312,,Very Good,G,VS1,59.0,57.0,6.66,6.71,3.94,6819
313,0.53,Ideal,E,VS1,61.7,57.0,5.17,5.22,3.2,2031
314,0.9,Very Good,E,SI1,63.5,56.0,6.1,6.04,3.85,4235
315,2.01,Ideal,J,VS1,61.9,57.0,8.05,8.08,5.01,16703
316,0.26,Ideal,F,VVS2,62.0,56.0,4.08,4.12,2.54,669
317,1.52,Premium,G,VS2,60.5,58.0,7.53,7.47,4.53,12150
318,0.9,Ideal,,VS2,62.3,55.0,6.18,6.22,3.86,3711
319,0.73,Ideal,G,VS1,62.2,56.0,5.74,5.77,3.58,2961
320,0.54,Ideal,D,VS2,61.0,56.0,5.3,5.26,3.22,1712
321,0.31,Ideal,E,VS2,62.1,56.0,4.36,4.38,2.72,767
322,1.19,Ideal,G,VVS1,61.7,56.0,6.82,6.79,4.2,10304
323,0.6,Ideal,G,VVS2,62.1,57.0,5.43,5.4,3.36,2394
324,0.3,Very Good,D,VS2,61.7,56.0,4.31,4.34,2.67,710
325,0.74,Ideal,E,VS2,61.0,56.0,5.83,5.86,3.57,3216
326,0.73,Premium,H,VS2,60.0,58.0,5.89,5.86,3.52,2352
327,,Ideal,F,VS1,61.9,56.0,6.67,6.7,4.14,8415
328,0.58,Premium,H,VS2,60.9,59.0,5.43,5.36,3.29,1419
329,1.01,Ideal,E,SI1,60.8,57.0,6.55,6.53,3.97,5530
330,0.4,Ideal,F,VVS2,61.8,57.0,4.75,4.73,2.93,1162
331,0.24,Very Good,,VS1,61.6,59.0,4.0,4.03,2.48,397
332,,Ideal,,VS2,61.8,56.0,4.39,4.41,2.72,648
333,1.06,Premium,G,VVS1,61.0,58.0,6.61,6.58,4.02,7861
334,,Premium,F,SI1,61.3,58.0,6.24,6.19,3.81,3704
335,,Ideal,D,VS2,60.9,57.0,4.51,4.54,2.76,827
336,1.5,Very Good,F,VS2,62.8,59.0,7.29,7.33,4.58,14211
337,1.2,Premium,F,SI1,61.2,60.0,6.82,6.75,4.15,6974
338,0.96,Ideal,,SI2,61.5,57.0,6.37,6.3,3.9,3276
339,0.53,Ideal,G,VS1,61.2,57.0,5.2,5.24,3.2,1690
340,2.05,Ideal,I,SI2,62.8,57.0,8.08,8.04,5.06,13140
341,1.22,Very Good,J,SI1,63.1,58.0,6.76,6.8,4.27,5197
342,0.64,Premium,D,VS2,60.7,61.0,5.55,5.52,3.37,2310
343,0.42,Very Good,G,SI2,61.9,58.0,4.8,4.83,2.98,765
344,1.17,Fair,G,SI2,59.4,62.5,6.86,6.9,4.09,4861
345,,Ideal,F,SI1,61.4,57.0,5.11,5.14,3.14,1296
346,1.08,Ideal,H,SI2,62.0,56.0,6.57,6.54,4.06,4771
347,1.12,Premium,,SI2,62.7,58.0,6.69,6.61,4.17,4206
348,1.03,Ideal,H,SI2,62.3,57.0,6.44,6.46,4.03,3544
349,,Very Good,H,SI1,63.3,57.0,7.2,7.28,4.59,9146
350,0.5,Ideal,D,VS1,61.6,57.0,5.13,5.09,3.15,2025
351,0.71,Premium,I,SI2,61.2,59.0,5.72,5.75,3.51,1902
352,0.35,Ideal,G,VVS1,61.5,56.0,4.53,4.55,2.79,868
353,0.9,Ideal,I,SI1,61.6,57.0,6.2,6.24,3.81,3450
354,1.0,Premium,E,SI2,60.6,60.0,6.41,6.45,3.89,4126
355,0.4,Ideal,,VS1,61.7,56.0,4.71,4.73,2.91,1053
356,0.3,Ideal,,VS1,62.4,57.0,4.3,4.28,2.68,630
357,0.57,Ideal,,VS2,62.5,56.0,5.31,5.34,3.34,1422
358,,Premium,E,VVS2,59.8,61.0,6.47,6.42,3.86,9106
359,2.0,Very Good,I,SI2,60.9,55.0,8.09,8.16,4.96,13097
